row ID,row m/z,row retention time,20210430-001 - MA2006.mzdata.xml Peak area,20210429-002 - MA2009.mzdata.xml Peak area,20210429-003 - MA2010.mzdata.xml Peak area,20210429-004 - MA2011.mzdata.xml Peak area,20210429-007 - MR1803.mzdata.xml Peak area,20210429-005 - MR1811.mzdata.xml Peak area,20210429-006 - MR1904.mzdata.xml Peak area,20210429-009 - MR2011.mzdata.xml Peak area
1,92.53999939,5.3103,1.12E+07,1.02E+07,1.03E+07,1.04E+07,6080758.711,6189206.312,8296471.771,5207528.02
2,92.53999939,5.4877,2.18E+07,2.07E+07,2.01E+07,2.01E+07,1.34E+07,1.29E+07,1.55E+07,1.13E+07
3,92.54444377,6.518777778,3416526.733,8956053.492,8547798.874,1.41E+07,2812394.653,3979684.191,3907967.492,0
4,92.53999939,6.618,7570052.989,7025943.095,6868394.549,7201944.155,3949235.284,3670704.653,5006212.472,2466966.808
5,92.53999939,6.9907,5738773.17,5517913.209,6178352.447,5532228.185,5202201.861,6315289.462,5929626.637,5561076.526
6,92.53999939,7.4181,5111526.351,6446513.389,5709591.663,6487322.601,9431416.626,1.24E+07,1.17E+07,1.39E+07
7,120.4800003,7.8098,3.24E+07,3.52E+07,3.25E+07,3.33E+07,2.35E+07,1.53E+07,2.52E+07,1.49E+07
8,118.4200012,8.0641,5.26E+07,3.26E+07,4.67E+07,3.58E+07,1.78E+07,3.46E+07,2.69E+07,2.06E+07
9,92.53999939,8.2071,1.44E+07,1.55E+07,1.51E+07,1.58E+07,1.05E+07,1.24E+07,1.28E+07,1.05E+07
10,80.51999969,8.2922,5856809.008,5566314.604,5971346.707,6166228.332,1.10E+07,1.43E+07,1.14E+07,1.31E+07
11,92.54999924,9.205,2.61E+07,0,0,9674204.136,1687176.753,0,0,0
12,92.53999939,9.2563,3.79E+07,6.34E+07,6.07E+07,5.12E+07,4.19E+07,3.00E+07,4.67E+07,3.15E+07
13,92.53999939,10.3324,1.59E+07,1.65E+07,1.56E+07,1.58E+07,3.31E+07,3.69E+07,3.45E+07,3.09E+07
14,92.52499962,10.771625,0,162949.5139,0,532390.7345,324348.9215,849544.8342,475094.3453,752183.693
15,92.57999878,11.6038,455794.9763,418578.9195,341099.8317,818776.6461,0,0,0,0
16,92.59999847,12.323,204874.2233,301206.2536,211267.5335,405340.4543,0,0,0,0
17,70.66666412,13.84816667,2.45E+07,6063977.35,2.77E+07,4.58E+07,0,0,1544551.625,0
18,70.63999786,13.8696,3.28E+07,4.84E+07,2.29E+07,9826098.443,3.57E+07,2.49E+07,3.92E+07,2.23E+07
19,92.53999939,14.3595,8880044.141,8214012.567,6915226.477,8204024.302,6848073.784,7455176.113,7736144.73,5372455.008
20,118.4222234,22.02422222,488514.8753,552322.1472,617389.2056,537985.5429,734483.3874,331570.6311,435401.7958,0
21,104.5,22.13022222,266381.0757,362285.3773,583439.168,348690.2647,885199.0782,307203.6932,343549.2383,0
22,104.5,23.4041,1158842.741,1113994.829,1227005.67,1004857.878,1647898.11,839709.0643,1101309.847,414105.968
23,92.53999939,23.7887,1235696.024,1082912.257,1069691.183,1032476.101,1496059.779,1010745.318,1031500.455,453215.4338
24,90.53999939,24.5778,2721192.359,2427235.02,2853616.842,2281026.465,3578994.298,2010685.07,2617969.356,1192734.676
25,107.5,24.75666667,422354.0834,492312.9964,464845.9381,425327.9304,715500.0326,304634.5739,497960.7752,0
26,160.3555535,25.05211111,798405.2314,1140383.006,1054694.253,948100.9073,1119848.794,489868.8495,747745.2787,0
27,92.54444377,25.16022222,697566.017,690472.6121,649826.8781,601562.6242,870987.6365,532161.6135,589737.4098,0
28,90.53999939,25.4513,1356311.927,1321411.979,1430496.741,1278606.069,1570662.09,874756.7795,1195779.762,466790.3418
29,160.3499985,25.993,1774048.263,2362386.413,2362602.889,1663190.338,4156107.254,1803300.149,2289706.455,803074.8079
30,104.5,26.563,438421.349,139134.8617,452665.1996,0,189032.5871,0,139756.2268,0
31,160.3499985,26.7024,1024418.702,1333705.421,1254493.435,1122622.873,1406005.104,705423.8398,915067.0883,266690.4319
32,106.5,26.8535,4298869.984,2586817.217,5096671.772,4842992.787,5067878.036,2465650.913,4241246.755,1229849.346
33,104.5,27.06877778,885252.5999,1023920.903,1096377.955,899478.0924,1632586.842,764599.5894,936780.6134,0
34,160.3499985,27.9752,6079114.37,6649326.844,6882746.067,4591244.846,1.07E+07,4066951.309,5334661.402,2255215.524
35,160.3250008,28.043,0,0,0,1462346.608,0,1869332.935,1864613.03,0
36,118.4222234,28.30166667,1281479.153,1325406.314,1443135.898,971763.1296,2208628.748,914063.0591,1276799.841,0
37,108.4000015,29.338125,154936.2197,153541.2031,181223.9207,0,301562.0035,179119.1735,167804.1461,0
38,106.5,30.2685,800212.9729,799918.156,953702.9453,586431.3165,1269474.705,661909.8541,782166.9495,339183.5298
39,108.4000015,30.56185714,391411.1598,364121.3469,393803.7689,238172.9226,480334.6636,0,314097.1805,0
40,106.5,30.6587,863560.9904,963931.8331,1086473.321,652921.289,1609408.247,661381.2946,1004172.539,302019.7563
41,148.3333333,30.97544444,677628.8216,644494.0633,746549.8462,410731.2808,1026047.036,485607.2183,570237.6656,0
42,148.3300003,31.7467,629800.4038,607261.4903,662017.7735,365817.5831,1200340.912,510726.7453,610603.4759,200957.0417
43,118.4222234,31.94544444,1161937.641,1375515.859,1423358.969,984773.044,2093602.706,1023397.285,1008676.328,0
44,160.3555535,32.47355556,484487.0426,558038.2429,623013.0607,332112.726,811524.208,392750.0845,453162.6522,0
